Direction,Protocol,Port,Namespace,Service,Pod,Container,Node Role,Optional
Ingress,TCP,53,openshift-dns,dns-default,dnf-default,dns,master,FALSE
Ingress,TCP,5050,openshift-machine-api,,ironic-proxy,ironic-proxy,master,FALSE
Ingress,TCP,6180,openshift-machine-api,metal3-state,metal3,metal3-httpd,master,FALSE
Ingress,TCP,6183,openshift-machine-api,metal3-state,metal3,metal3-httpd,master,FALSE
Ingress,TCP,6385,openshift-machine-api,metal3-state,metal3,metal3-httpd,master,FALSE
Ingress,TCP,9444,openshift-kni-infra,,haproxy,haproxy,master,FALSE
Ingress,TCP,9445,openshift-kni-infra,,haproxy,haproxy,master,FALSE
Ingress,TCP,9447,openshift-machine-api,,metal3-baremetal-operator,,master,FALSE
Ingress,TCP,18080,openshift-kni-infra,,coredns,coredns,master,FALSE
Ingress,UDP,53,openshift-dns,dns-default,dnf-default,dns,master,FALSE
Ingress,TCP,53,openshift-dns,dns-default,dnf-default,dns,worker,FALSE
Ingress,TCP,80,openshift-ingress,router-internal-default,router-default,router,worker,FALSE
Ingress,TCP,443,openshift-ingress,router-internal-default,router-default,router,worker,FALSE
Ingress,TCP,1936,openshift-ingress,router-internal-default,router-default,router,worker,FALSE
Ingress,TCP,18080,openshift-kni-infra,,coredns,coredns,worker,FALSE
Ingress,UDP,53,openshift-dns,dns-default,dnf-default,dns,worker,FALSE
